Data;Hora;Pressao;Temperatura Ambiente;Temperatura Tanque
2022/09/16;15:04:16;36.2;-4.4;-4.4
2022/09/16;15:04:17;35.5;-4.4;-4.4
2022/09/16;15:04:18;35.7;-4.4;-4.4
2022/09/16;15:04:19;36.1;-4.4;-4.4
2022/09/16;15:04:20;36.2;-4.4;-4.4
2022/09/16;15:04:21;36.2;-4.4;-4.4
2022/09/16;15:04:23;36.2;-4.4;-4.4
2022/09/16;15:04:24;36.1;-4.4;-4.4
2022/09/16;15:04:25;36.2;-4.4;-4.4
2022/09/16;15:04:26;36.2;-4.4;-4.4
2022/09/16;15:04:27;36.1;-4.4;-4.4
2022/09/16;15:04:28;36.1;-4.4;-4.4
2022/09/16;15:04:29;36.1;-4.4;-4.4
2022/09/16;15:05:38;36.1;-4.4;-4.4
2022/09/16;15:05:39;36.2;-4.4;-4.4
2022/09/16;15:05:40;36.2;-4.4;-4.4
2022/09/16;15:05:42;36.1;-4.4;-4.4
2022/09/16;15:05:43;36.2;-4.4;-4.4
2022/09/16;15:05:44;36.2;-4.4;-4.4
2022/09/16;15:05:45;36.2;-4.4;-4.4
2022/09/16;15:05:46;36.1;-4.4;-4.4
2022/09/16;15:05:47;35.6;-4.4;-4.4
2022/09/16;15:05:48;35.9;-4.4;-4.4
2022/09/16;15:05:49;36.2;-4.4;-4.4
2022/09/16;15:05:50;36.0;-4.4;-4.4
2022/09/16;15:05:51;36.2;-4.4;-4.4
2022/09/16;15:05:53;36.1;-4.4;-4.4
2022/09/16;15:05:54;36.2;-4.4;-4.4
2022/09/16;15:05:55;36.2;-4.4;-4.4
2022/09/16;15:33:47;2.5;-4.4;-4.4
2022/09/16;15:33:48;2.3;-4.4;-4.4
2022/09/16;15:33:49;2.4;-4.4;-4.4
2022/09/16;15:33:50;2.4;-4.4;-4.4
2022/09/16;15:33:51;2.4;-4.4;-4.4
2022/09/16;15:35:17;2.5;-4.4;-4.4
2022/09/16;15:35:18;2.6;-4.4;-4.4
2022/09/16;15:35:19;2.4;-4.4;-4.4
2022/09/16;15:35:20;2.4;-4.4;-4.4
2022/09/16;15:51:08;1.9;-4.4;-4.4
2022/09/16;15:51:09;2.0;-4.4;-4.4
2022/09/16;15:51:10;2.0;-4.4;-4.4
2022/09/16;15:51:11;2.0;-4.4;-4.4
2022/09/16;15:51:12;2.0;-4.4;-4.4
2022/09/16;15:51:13;2.0;-4.4;-4.4
2022/09/16;15:51:15;2.0;-4.4;-4.4
2022/09/16;15:51:16;2.0;-4.4;-4.4
2022/09/16;15:51:18;1.9;-4.4;-4.4
2022/09/16;15:51:19;1.9;-4.4;-4.4
2022/09/16;15:51:20;1.9;-4.4;-4.4
2022/09/16;15:51:35;1.9;-4.4;-4.4
2022/09/16;15:51:36;1.9;-4.4;-4.4
2022/09/16;15:51:38;1.9;-4.4;-4.4
2022/09/16;15:51:39;1.9;-4.4;-4.4
2022/09/16;15:51:40;1.9;-4.4;-4.4
2022/09/16;15:51:41;1.9;-4.4;-4.4
2022/09/16;15:51:42;1.9;-4.4;-4.4
2022/09/16;15:51:53;6.8;-4.4;-4.4
2022/09/16;15:51:54;6.9;-4.4;-4.4
2022/09/16;15:51:56;6.9;-4.4;-4.4
2022/09/16;15:51:57;6.9;-4.4;-4.4
2022/09/16;15:51:58;6.9;-4.4;-4.4
2022/09/16;15:53:13;9.7;-4.4;-4.4
2022/09/16;15:53:14;9.6;-4.4;-4.4
2022/09/16;15:53:15;9.7;-4.4;-4.4
09:39:45;48.1;-4.4;-4.4
09:39:46;48.5;-4.4;-4.4
10:03:41;38.1;-4.4;-4.4
10:03:42;38.8;-4.4;-4.4
10:03:43;38.8;-4.4;-4.4
10:03:44;38.0;-4.4;-4.4
2022/09/19;10:29:57;33.0;-4.4;-4.4
2022/09/19;10:29:59;32.9;-4.4;-4.4
2022/09/19;10:30:00;32.6;-4.4;-4.4
2022/09/19;10:30:04;32.9;-4.4;-4.4
2022/09/19;10:30:05;32.8;-4.4;-4.4
2022/09/19;10:30:06;32.6;-4.4;-4.4
2022/09/19;10:30:07;32.9;-4.4;-4.4
2022/09/19;10:30:08;32.2;-4.4;-4.4
2022/09/19;10:30:09;32.8;-4.4;-4.4
2022/09/19;10:30:36;32.9;-4.4;-4.4
2022/09/19;10:30:56;32.7;-4.4;-4.4
2022/09/19;10:30:57;32.8;-4.4;-4.4
2022/09/19;10:30:58;32.8;-4.4;-4.4
2022/09/19;10:30:59;32.8;-4.4;-4.4
2022/09/19;10:31:06;32.8;-4.4;-4.4
2022/09/19;10:31:08;32.8;-4.4;-4.4
2022/09/19;10:32:53;32.8;-4.4;-4.4
2022/09/19;10:32:54;32.7;-4.4;-4.4
2022/09/19;10:32:55;32.7;-4.4;-4.4
2022/09/19;10:37:55;32.8;-4.4;-4.4
2022/09/19;10:37:56;33.0;-4.4;-4.4
2022/09/19;10:37:58;33.0;-4.4;-4.4
2022/09/19;10:38:37;32.9;-4.4;-4.4
2022/09/19;10:38:39;32.2;-4.4;-4.4
2022/09/19;10:40:40;32.7;-4.4;-4.4
2022/09/19;10:40:41;33.0;-4.4;-4.4
2022/09/19;10:40:42;33.0;-4.4;-4.4
2022/09/19;10:40:43;33.0;-4.4;-4.4
2022/09/19;10:40:44;32.9;-4.4;-4.4
2022/09/19;10:40:46;32.9;-4.4;-4.4
2022/09/19;10:40:47;32.9;-4.4;-4.4
2022/09/19;10:40:48;33.0;-4.4;-4.4
2022/09/19;10:42:11;32.9;-4.4;-4.4
2022/09/19;10:42:12;33.0;-4.4;-4.4
2022/09/19;10:42:16;33.0;-4.4;-4.4
2022/09/19;10:42:17;33.0;-4.4;-4.4
2022/09/19;10:42:18;32.9;-4.4;-4.4
2022/09/19;10:42:19;33.0;-4.4;-4.4
2022/09/19;10:42:21;33.0;-4.4;-4.4
2022/09/19;10:42:22;33.0;-4.4;-4.4
2022/09/19;10:42:23;32.9;-4.4;-4.4
2022/09/19;10:42:24;32.9;-4.4;-4.4
2022/09/19;10:42:25;32.9;-4.4;-4.4
2022/09/19;10:42:26;33.0;-4.4;-4.4
2022/09/19;10:42:27;32.9;-4.4;-4.4
2022/09/19;10:42:28;32.7;-4.4;-4.4
2022/09/19;10:42:30;33.0;-4.4;-4.4
2022/09/19;10:42:31;32.8;-4.4;-4.4
2022/09/19;10:42:32;33.1;-4.4;-4.4
2022/09/19;10:42:33;32.9;-4.4;-4.4
2022/09/19;10:42:34;32.8;-4.4;-4.4
2022/09/19;10:42:35;32.7;-4.4;-4.4
2022/09/19;10:42:36;32.8;-4.4;-4.4
